,ts_code,trade_time,open,close,high,low,vol,amount,trade_date,pre_close
0,300122.SZ,2021-02-10 10:00:00,199.86,200.5,201.75,199.64,708202.0,142305518.38,20210210,199.6
1,300122.SZ,2021-02-10 09:55:00,198.64,199.6,199.6,197.52,352756.0,69997844.72,20210210,198.6
2,300122.SZ,2021-02-10 09:50:00,195.49,198.6,198.84,195.01,470122.0,92489231.84,20210210,195.4
3,300122.SZ,2021-02-10 09:45:00,197.31,195.4,197.31,195.4,369700.0,72549731.3,20210210,197.5
4,300122.SZ,2021-02-10 09:40:00,195.1,197.5,198.0,195.1,716700.0,141053799.14,20210210,195.11
5,300122.SZ,2021-02-10 09:35:00,196.16,195.11,198.2,195.11,1105200.0,217099718.0,20210210,197.01
6,300122.SZ,2021-02-10 09:30:00,197.01,197.01,197.01,197.01,82436.0,16240716.36,20210210,199.5
7,300122.SZ,2021-02-09 15:00:00,198.99,199.5,199.5,198.98,395906.0,78912200.28,20210209,199.0
8,300122.SZ,2021-02-09 14:55:00,198.98,199.0,199.0,198.02,288445.0,57309018.0,20210209,198.99
9,300122.SZ,2021-02-09 14:50:00,198.53,198.99,199.48,198.53,208800.0,41553444.0,20210209,198.9
10,300122.SZ,2021-02-09 14:45:00,199.84,198.9,199.84,198.53,220500.0,43913474.0,20210209,199.83
11,300122.SZ,2021-02-09 14:40:00,200.27,199.83,200.3,199.0,251301.0,50196317.54,20210209,200.28
12,300122.SZ,2021-02-09 14:35:00,198.13,200.28,200.28,198.13,403441.0,80569757.44,20210209,198.15
13,300122.SZ,2021-02-09 14:30:00,198.5,198.15,198.5,197.86,220500.0,43653760.0,20210209,198.5
14,300122.SZ,2021-02-09 14:25:00,199.1,198.5,199.1,198.5,126300.0,25108723.0,20210209,199.1
15,300122.SZ,2021-02-09 14:20:00,198.93,199.1,199.9,198.89,141300.0,28163391.4,20210209,199.0
16,300122.SZ,2021-02-09 14:15:00,199.8,199.0,199.92,198.85,173100.0,34540260.0,20210209,199.78
17,300122.SZ,2021-02-09 14:10:00,198.39,199.78,199.81,198.3,187708.0,37376288.88,20210209,198.4
18,300122.SZ,2021-02-09 14:05:00,198.53,198.4,198.7,198.39,97900.0,19434544.0,20210209,198.52
19,300122.SZ,2021-02-09 14:00:00,198.4,198.52,199.12,198.4,184100.0,36604663.0,20210209,198.4
20,300122.SZ,2021-02-09 13:55:00,198.3,198.4,198.65,198.2,90100.0,17875381.0,20210209,198.25
21,300122.SZ,2021-02-09 13:50:00,197.69,198.25,198.46,197.01,125590.0,24841258.08,20210209,197.69
22,300122.SZ,2021-02-09 13:45:00,198.76,197.69,198.76,197.2,128400.0,25415394.0,20210209,198.75
23,300122.SZ,2021-02-09 13:40:00,198.58,198.75,198.75,198.0,175700.0,34856091.0,20210209,198.55
24,300122.SZ,2021-02-09 13:35:00,198.65,198.55,198.66,198.0,117030.0,23216221.4,20210209,198.65
25,300122.SZ,2021-02-09 13:30:00,197.18,198.65,198.7,197.12,150305.0,29739411.65,20210209,197.13
26,300122.SZ,2021-02-09 13:25:00,198.27,197.13,198.78,197.11,133090.0,26359359.09,20210209,198.32
27,300122.SZ,2021-02-09 13:20:00,198.49,198.32,198.88,197.97,172735.0,34304142.88,20210209,198.5
28,300122.SZ,2021-02-09 13:15:00,198.0,198.5,198.58,197.53,216077.0,42801099.53,20210209,198.0
29,300122.SZ,2021-02-09 13:10:00,197.5,198.0,198.29,197.4,134433.0,26606035.67,20210209,197.5
30,300122.SZ,2021-02-09 13:05:00,196.7,197.5,197.8,196.03,147973.0,29148638.03,20210209,196.71
31,300122.SZ,2021-02-09 11:30:00,197.16,196.71,197.16,196.7,85624.0,16860055.19,20210209,197.21
32,300122.SZ,2021-02-09 11:25:00,197.65,197.21,197.99,196.99,119700.0,23618340.2,20210209,197.65
33,300122.SZ,2021-02-09 11:20:00,198.32,197.65,198.6,197.51,119300.0,23637446.0,20210209,198.38
34,300122.SZ,2021-02-09 11:15:00,197.97,198.38,198.6,197.8,173971.0,34486233.93,20210209,197.99
35,300122.SZ,2021-02-09 11:10:00,197.13,197.99,197.99,196.99,136060.0,26845384.0,20210209,197.24
36,300122.SZ,2021-02-09 11:05:00,197.55,197.24,197.84,196.98,203100.0,40119773.0,20210209,197.6
37,300122.SZ,2021-02-09 11:00:00,196.7,197.6,197.98,196.56,232556.0,45901096.68,20210209,196.74
